book_id,library_id,title,author,quantity_available,category
50,66,Ergonomic hybrid access,Brandon Curtis,60,Fiction
51,17,Public-key empowering groupware,Mary Coleman,87,Non-Fiction
52,4,Open-architected maximized moratorium,Justin Burns,29,Non-Fiction
53,81,User-friendly attitude-oriented collaboration,Daniel Scott,98,Historical Fiction
54,64,Multi-lateral full-range success,Samantha Santos,12,Fantasy
55,36,Synergistic grid-enabled moderator,Theresa Mcintyre,48,History
56,33,Innovative uniform groupware,Brandon Harris,24,Fantasy
57,81,Profit-focused homogeneous parallelism,Jonathan Clements,86,Science
58,41,Compatible client-server knowledgebase,Tara Edwards,4,Non-Fiction
59,55,Pre-emptive needs-based capacity,Linda Aguilar,49,Historical Fiction
60,26,Centralized 24hour throughput,Tonya Mosley,44,Non-Fiction
61,96,User-centric even-keeled process improvement,Justin Freeman,0,Mystery
62,44,Switchable object-oriented adapter,Terry Nash,26,Non-Fiction
63,12,Distributed bottom-line concept,Thomas Gibbs,71,Fiction
64,56,Streamlined cohesive superstructure,Bradley Lewis,44,Mystery
65,55,Proactive composite toolset,Amanda Lucas,24,Fantasy
66,71,Optimized scalable contingency,Tracey Williams,9,History
67,10,Operative attitude-oriented capability,Steven Thomas,83,Mystery
68,64,Progressive real-time archive,Bonnie Casey,90,Historical Fiction
69,74,Organized content-based policy,Taylor Dalton,19,Fiction
70,57,Down-sized user-facing circuit,Gary Jennings,29,Mystery
71,57,Up-sized multi-tasking Graphic Interface,Garrett Phillips,87,Science
72,90,Persistent 5thgeneration forecast,Nicole Miles,45,Fiction
73,71,Ergonomic solution-oriented Graphical User Interface,Jesus Kramer,46,Historical Fiction
74,78,Implemented 3rdgeneration migration,Patricia Elliott,48,Science
75,100,Exclusive national parallelism,Christine Mueller,100,Mystery
76,25,Intuitive asymmetric system engine,William Brooks,86,Mystery
77,48,Quality-focused 24hour toolset,Kim Rogers,63,Mystery
78,47,Mandatory full-range Graphical User Interface,Marie Martin,46,Non-Fiction
79,40,Expanded human-resource solution,Martha Clayton,9,Non-Fiction
80,36,Secured logistical collaboration,Patricia Jimenez,94,Romance
81,96,Total systemic emulation,Jeffrey Newton,33,Historical Fiction
82,49,Intuitive bi-directional task-force,Tammy Clark,58,Mystery
83,90,Total fresh-thinking extranet,Robert Harrison,65,Romance
84,19,Face-to-face modular toolset,Christie Donovan,1,Mystery
85,37,Multi-channeled 4thgeneration policy,Frederick Lynch,31,Historical Fiction
86,34,Optional context-sensitive concept,Deborah Taylor,97,Mystery
87,1,Ameliorated client-server forecast,Jeffrey Davis,38,Romance
88,58,Synergized incremental moratorium,Aaron Holmes,47,Fantasy
89,44,Mandatory needs-based neural-net,Tammy Cain,99,Science
90,25,Reduced disintermediate contingency,Melanie Andrews,0,History
91,50,Team-oriented 24hour capability,Sandra Hunter,46,Fiction
92,92,Focused upward-trending emulation,Lawrence Banks,57,History
93,48,Triple-buffered 6thgeneration extranet,David King,28,Fiction
94,80,Realigned client-server concept,Martha York,68,Fiction
95,53,Polarized executive Graphic Interface,Thomas Nixon,67,Mystery
96,47,Virtual 4thgeneration software,Leslie Mendez,68,Science
97,45,Stand-alone transitional access,Nancy Porter,17,Fantasy
98,17,Horizontal multimedia access,Rhonda Ramirez,26,Romance
99,94,Extended zero administration attitude,Heather Rodriguez,54,Historical Fiction
100,5,Multi-channeled modular time-frame,Joshua Barker,43,Fantasy
101,21,Compatible next generation throughput,Robert West,33,Fantasy
102,61,Networked neutral focus group,Brenda Graves,15,Fiction
103,73,Business-focused system-worthy model,Danielle Valentine,50,Fantasy
104,91,Customizable actuating hardware,Rhonda Morales,9,Fiction
105,93,Synergized impactful structure,David Morris,2,Fantasy
106,32,Multi-channeled upward-trending circuit,Edward Sexton,83,Historical Fiction
107,82,Intuitive dynamic attitude,Yolanda Pierce,11,Historical Fiction
108,83,Extended 24hour model,Sandra Zamora,1,History
109,50,Vision-oriented zero administration contingency,Karen Jackson,4,Mystery
110,7,Triple-buffered systemic installation,Michelle Ryan,29,Mystery
111,18,Team-oriented leadingedge success,April Jones,62,Historical Fiction
112,57,Right-sized neutral portal,Christopher Wiley,98,Mystery
113,79,Optional actuating structure,Mr. Anthony Schaefer,76,Mystery
114,4,Cross-group heuristic monitoring,Lauren Davies,54,Romance
115,89,User-centric bandwidth-monitored success,Robert Henry,69,Science
116,20,Programmable encompassing focus group,Thomas Butler,89,Historical Fiction
117,19,Open-architected global challenge,Anthony Stevens,93,Romance
118,91,Assimilated leadingedge product,Christopher Anderson,14,Fantasy
119,97,Compatible impactful Internet solution,Christopher Powell,64,Romance
120,65,Exclusive web-enabled Graphical User Interface,Stephanie French,23,Science
121,65,Diverse modular process improvement,Christine Stevens,43,Non-Fiction
122,2,Synergized tangible infrastructure,Jacqueline Hoffman,16,Science
123,82,Stand-alone object-oriented customer loyalty,Joshua Cortez,90,Mystery
124,56,Enhanced multi-tasking project,Jill Beck,9,Fiction
125,82,Switchable clear-thinking moratorium,Jennifer Wilson,45,Fiction
126,97,Operative logistical Graphical User Interface,Joseph Lewis,71,Historical Fiction
127,23,Decentralized foreground project,Teresa Bailey,82,Historical Fiction
128,89,Team-oriented cohesive array,Jason Fletcher,54,Mystery
129,68,Integrated tertiary ability,Victoria Gilbert,40,Historical Fiction
130,93,Customer-focused asynchronous circuit,Kelly Ball,85,Science
131,45,Multi-channeled client-driven matrix,Melissa Perez,68,Romance
132,64,Triple-buffered full-range superstructure,Brett Morris,14,Romance
133,21,Cloned 24hour archive,Joseph Carter,74,Romance
134,92,Re-contextualized radical monitoring,Alicia Cruz,38,Fantasy
135,59,Open-source leadingedge challenge,Joshua Carroll,1,History
136,34,Pre-emptive needs-based initiative,Willie Fry,89,Romance
137,3,Fundamental next generation paradigm,Robert Stephenson,96,Fiction
138,85,Universal 4thgeneration algorithm,Sean Rodgers,76,Mystery
139,44,Streamlined multi-state standardization,Levi Chavez,75,Fantasy
140,33,Grass-roots clear-thinking database,Kristin Ramsey,0,Science
141,52,Reverse-engineered maximized flexibility,Frank Lane,68,Mystery
142,23,Configurable 3rdgeneration productivity,Deborah Griffith,21,Science
143,43,Mandatory stable Internet solution,Ashley Brown,4,Fantasy
144,56,Ameliorated demand-driven ability,Samantha Morrison,5,Mystery
145,60,Inverse discrete software,Carla Johnson,15,Fantasy
146,28,Up-sized fault-tolerant adapter,Corey Wilson,56,History
147,83,Secured zero administration help-desk,Melissa Best,0,Historical Fiction
148,49,Focused mobile ability,Hannah Clements,68,Fantasy
149,45,Pre-emptive methodical parallelism,Lisa Casey,63,Fantasy
150,79,Adaptive bi-directional application,Rebecca Miller,68,Fiction
151,49,Centralized explicit product,Joshua Casey,72,Science
152,50,Progressive transitional pricing structure,Philip Murphy,30,Romance
153,50,Distributed radical initiative,Daniel Morris,8,History
154,58,Universal heuristic instruction set,Megan Lewis,91,Non-Fiction
155,99,Persistent asymmetric core,Barry Lawrence,9,Science
156,49,Universal homogeneous adapter,Jennifer Oconnell MD,75,Science
157,85,Distributed neutral Graphic Interface,Steven Butler,87,Fiction
158,27,Public-key national alliance,Darlene Sosa,65,Historical Fiction
159,91,Streamlined composite approach,Keith Wells,12,Science
160,43,Balanced actuating service-desk,Victor Bennett,59,Science
161,56,Realigned hybrid project,Samantha Miller,54,Romance
162,39,Synergized global alliance,Michelle Johnson MD,75,Science
163,62,Persevering explicit knowledgebase,Dr. Sonya Moreno,23,Historical Fiction
164,30,Balanced mission-critical installation,Stephanie Hart,83,Historical Fiction
165,49,Networked full-range budgetary management,Kristen Dougherty,59,Mystery
166,27,Fundamental context-sensitive collaboration,Michael Patton,57,Mystery
167,84,Robust zero-defect flexibility,Brian Gallagher,92,Fantasy
168,98,Configurable multi-tasking toolset,Jared Bates,4,History
169,12,Virtual foreground capability,Jessica Wilson,51,Science
170,35,Customer-focused tangible groupware,Dr. Melissa Barnes,27,Romance
171,31,Exclusive demand-driven protocol,James Mcmahon,18,Fantasy
172,82,Mandatory value-added product,Amanda Nunez,74,Mystery
173,6,Exclusive explicit moratorium,Andrea Terrell,4,Mystery
174,14,Synergized composite knowledge user,Kyle Herrera,10,History
175,91,Down-sized encompassing matrices,Jessica Hogan,44,Fiction
176,63,Secured context-sensitive functionalities,Ashley Smith,64,Mystery
177,85,Re-contextualized analyzing protocol,Jessica Johns,69,Romance
178,99,Robust modular open system,Laurie Bowman,96,Romance
179,91,Realigned neutral knowledgebase,Alexander Barber,77,Non-Fiction
180,75,Customizable web-enabled secured line,Jacqueline Wu,21,Romance
181,51,Virtual regional task-force,Dr. Samantha Wilson,78,Historical Fiction
182,43,Implemented impactful open system,Lindsay Rivera,28,Romance
183,14,Upgradable zero-defect core,Olivia Joseph,6,Romance
184,70,Total cohesive extranet,Molly Wallace,80,Historical Fiction
185,97,Exclusive real-time budgetary management,Jillian Carroll,13,Mystery
186,50,Digitized fresh-thinking collaboration,Angela Rasmussen,45,Science
187,42,Adaptive client-server strategy,Becky Carter,11,Mystery
188,16,Mandatory optimal model,Mary Williams,71,Non-Fiction
189,76,Organized coherent algorithm,Tyler Thomas,27,Mystery
190,81,Open-source dynamic complexity,Savannah Castillo,92,Fantasy
191,93,Decentralized intermediate strategy,Michelle Shannon,85,Non-Fiction
192,98,Devolved methodical workforce,John Jefferson,85,Mystery
193,4,Reverse-engineered high-level artificial intelligence,Sarah Waters,58,Fiction
194,74,Cloned radical policy,Michele Brennan,1,Fiction
195,67,Multi-lateral multi-tasking Local Area Network,Mr. Kevin Miller,67,History
196,30,Stand-alone multimedia encryption,Brittany Contreras,56,History
197,38,Fully-configurable cohesive website,Donald Douglas,91,Historical Fiction
198,6,Devolved reciprocal groupware,Samuel Hernandez,78,Mystery
199,55,Down-sized tangible Internet solution,Steven Walker,97,Non-Fiction
200,88,Operative bandwidth-monitored contingency,Amy Hutchinson,15,Fiction
